Bilzen,FIE,50.868333,5.509167,Belgium
Bischofshofen,BISCHO,47.41748,13.21991,Austria
Blerick,BR,51.37250137,6.15500021,Netherlands
Bloemendaal,BLL,52.40416718,4.627500057,Netherlands
Bludenz,BLUDEN,47.15473,9.81456,Austria
Bodegraven,BDG,52.08139038,4.746110916,Netherlands
Boisheim,KBOI,51.274323,6.274591,Germany
Bonn Hbf,BONN,50.73201416,7.097125053,Germany
Boom,FMB,51.09063,4.36057,Belgium
Bork,EBOK,51.66988,7.45664,Germany
Borne,BN,52.29888916,6.748055458,Netherlands
Boskoop,BSK,52.07777786,4.646944523,Netherlands
Bourg-St-Maurice,BOURG,45.61918,6.77167,France
Boven-Hardinxveld,BHDV,51.832222,4.878056,Netherlands
Bovenkarspel Flora,BKF,52.69610977,5.252777576,Netherlands
Bovenkarspel-Grootebroek,BKG,52.69499969,5.23777771,Netherlands
Boxmeer,BMR,51.64452177,5.939033031,Netherlands
Boxtel,BTL,51.58433,5.31912,Netherlands
Braunschweig Hbf,BRAUNS,52.25224,10.53971,Germany
Breda,BD,51.59555435,4.78000021,Netherlands
Breda-Prinsenbeek,BDPB,51.60638809,4.720833302,Netherlands
Bressoux,BRESSX,50.643829,5.6112542,Belgium
Breukelen,BKL,52.17149,4.9906,Netherlands
Breyell,KBRY,51.294615,6.241174,Germany
Brummen,BMN,52.09111023,6.146944523,Netherlands
Brussel Nat. Luchthaven,FBNL,50.896389,4.481943,Belgium
Brussel-Centraal,BRUSC,50.8454658,4.3571135,Belgium
Brussel-Noord,BRUSN,50.8605262,4.3617873,Belgium
Brussel-Zuid/Midi,BRUSZ,50.8350108,4.3345957,Belgium
Buitenpost,BP,53.2564547,6.1446496,Netherlands
Bunde,BDE,50.89694595,5.736666679,Netherlands
Bunnik,BNK,52.06305695,5.194444656,Netherlands
Bussum Zuid,BSMZ,52.26583481,5.16305542,Netherlands
Bönen,EBEO,51.598015,7.757296,Germany
Bünde (Westf),BUENDE,52.202075,8.573876,Germany
Capelle Schollevaar,CPS,51.95416641,4.584166527,Netherlands
Castricum,CAS,52.54583359,4.658611298,Netherlands
Chambéry,CHAMB,45.57127,5.91953,France
Chevremont,CVM,50.87611008,6.059722424,Netherlands
Chur,CHUR,46.853333,9.528333,Switzerland
Coesfeld (Westf),ECMF,51.939444 ,7.1642,Germany
Coevorden,CO,52.66361237,6.735555649,Netherlands
Como,COMO,45.80936,9.07325,Italy
Cuijk,CK,51.72668259,5.874295235,Netherlands
Culemborg,CL,51.94666672,5.226944447,Netherlands
Daarlerveen,DA,52.4407702,6.5759947,Netherlands
Dalen,DLN,52.69416809,6.758055687,Netherlands
Dalfsen,DL,52.49833298,6.258611202,Netherlands
De Vink,DVNK,52.14722061,4.45638895,Netherlands
De Westereen,DWE,53.24817,6.03463,Netherlands
Decin hl.n.,DECIN,50.77342,14.20125,Czech Republic
Deinum,DEI,53.1888115,5.7281572,Netherlands
Delden,DDN,52.25999832,6.716111183,Netherlands
Delft,DT,52.00666809,4.356389046,Netherlands
Delft Zuid,DTZ,51.99083328,4.364722252,Netherlands
Delfzijl,DZ,53.3336625,6.9240797,Netherlands
Delfzijl West,DZW,53.3320834,6.9069092,Netherlands
Den Dolder,DLD,52.14027786,5.242777824,Netherlands
Den Haag Centraal,GVC,52.08027649,4.324999809,Netherlands
Den Haag HS,GV,52.06972122,4.322500229,Netherlands
Den Haag Laan v NOI,LAA,52.07860947,4.342777729,Netherlands
Den Haag Mariahoeve,GVM,52.0905571,4.36944437,Netherlands
Den Haag Moerwijk,GVMW,52.05389023,4.308610916,Netherlands
Den Haag Ypenburg,YPB,52.05527878,4.392222404,Netherlands
Den Helder,HDR,52.95527649,4.761111259,Netherlands
Den Helder Zuid,HDRZ,52.93249893,4.764166832,Netherlands
Deurne,DN,51.45583344,5.788888931,Netherlands
Deventer,DV,52.25749969,6.160555363,Netherlands
Deventer Colmschate,DVC,52.25027847,6.214444637,Netherlands
Didam,DID,51.933502,6.1324106,Netherlands
Diemen,DMN,52.34583282,4.965555668,Netherlands
Diemen Zuid,DMNZ,52.33027649,4.955833435,Netherlands
Diepenbeek,GDP,50.910278,5.419722,Belgium
Dieren,DR,52.04499817,6.103055477,Netherlands
Doetinchem,DTC,51.9585962,6.2962148,Netherlands
Doetinchem De Huet,DTCH,51.9591413,6.2598521,Netherlands
Domodossola,DOMOD,46.11529,8.29624,Italy
Dordrecht,DDR,51.80722046,4.66833353,Netherlands
Dordrecht Stadspolders,DDRS,51.80194473,4.716666698,Netherlands
Dordrecht Zuid,DDZD,51.79000092,4.671389103,Netherlands
Dortmund Derne,EDD,51.56754,7.52855,Germany
Dortmund Hbf,EDO,51.517896,7.45929,Germany
Dortmund Kirchderne,EDKD,51.547076,7.510099,Germany
Dresden Hbf,DRESD,51.04056,13.73203,Germany
Dresden-Neustadt,DRESDN,51.06581,13.740833 ,Germany
Driebergen-Zeist,DB,52.0652771,5.258611202,Netherlands
Driehuis,DRH,52.44250107,4.638055325,Netherlands
Dronrijp,DRP,53.1778086,5.6347411,Netherlands
Dronten,DRON,52.5344,5.72089,Netherlands
Duffel,FDP,51.091389,4.493056,Belgium
Duisburg Hbf,DUISB,51.42977857,6.775903702,Germany
Duiven,DVN,51.94333267,6.014722347,Netherlands
Duivendrecht,DVD,52.32333374,4.936388969,Netherlands
Dülken,KDUL,51.257149,6.33793,Germany
Dülmen,EDULH,51.827927,7.295756,Germany
Düren,KDR,50.8094,6.48203,Germany
Düsseldorf Hbf,DUSSEL,51.220146,6.793137,Germany
Ebbsfleet International,EBBS,51.44297,0.32095,United Kingdom
Echt,EC,51.10055542,5.878889084,Netherlands
Ede Centrum,EDC,52.04360962,5.66833353,Netherlands
Ede-Wageningen,ED,52.02777863,5.673055649,Netherlands
Eijs-Wittem,WTM,50.82317,5.92479,Netherlands
Eijsden,EDN,50.77194595,5.710000038,Netherlands
Eilendorf,EDF,50.785561,6.154367,Germany
Eindh Beukenln tot 13 dec,EHB,51.45111084,5.455833435,Netherlands
Eindhoven,EHV,51.44333267,5.481389046,Netherlands
Eindhoven Strijp-S,EHS,51.45111084,5.455833435,Netherlands
Ekeren,LKR,51.2816099,4.4341227,Belgium
Elst,EST,51.9169426,5.855000019,Netherlands
Emmen,EMN,52.79000092,6.89944458,Netherlands
Emmen Zuid,EMNZ,52.74886637,6.874780655,Netherlands
Emmerich,EM,51.834283,6.255718,Germany
Enkhuizen,EKZ,52.69916534,5.286388874,Netherlands
Ennepetal (Gevelsberg),EENP,51.304892,7.343285,Germany
Enschede,ES,52.22249985,6.889999866,Netherlands
Enschede De Eschmarke,ESE,52.22138977,6.951111317,Netherlands
Enschede Drien tot 13 dec,ESD,52.23749924,6.838889122,Netherlands
Enschede Kennispark,ESK,52.23749924,6.838889122,Netherlands
Epe (Westf),EEPE,52.18346,7.03009,Germany
Ermelo,EML,52.30166626,5.614722252,Netherlands
Eschweiler Hbf,ESCH,50.813532,6.251937,Germany
Eschweiler Talbahnhof,ESCHT,50.814759,6.263203,Germany
Eschweiler-Nothberg,ESCHN,50.812827,6.293846,Germany
Eschweiler-Weisweiler,EWEIS,50.824371,6.320676,Germany
Eschweiler-West,ESCHW,50.817712,6.251721,Germany
Essen (Belgie),ESN,51.46261,4.45129,Belgium
Etten-Leur,ETN,51.57500076,4.635833263,Netherlands
Eygelshoven,EGH,50.89055634,6.045000076,Netherlands
Eygelshoven Markt,EGHM,50.89604982,6.060247421,Netherlands
Feanwalden,FWD,53.2351834,5.9886615,Netherlands
Fieberbrunn,FIEBER,47.49111,12.55,Austria
Franeker,FN,53.1824488,5.5483094,Netherlands
Frankfurt (M) Hbf,FFFM,50.1071222,8.6638338,Germany
Frankfurt (Oder),FRANKO,52.336163,14.546509,Germany
Frankfurt Flughafen Fernb,FNAF,50.05317103,8.57023716,Germany
Freiburg (Breisgau) Hbf,RF,47.99789,7.84134,Germany
Gaanderen,GDR,51.93074,6.3486,Netherlands
Geerdijk,GDK,52.47625,6.56674,Netherlands
Geislingen,GEISL,48.61947742,9.841840267,Germany
Geldermalsen,GDM,51.88301,5.27127,Netherlands
Geldrop,GP,51.41972351,5.550555706,Netherlands
Geleen Oost,GLN,50.96694565,5.843055725,Netherlands
Geleen-Lutterade,LUT,50.97555542,5.82472229,Netherlands
Gilze-Rijen,GZ,51.58361053,4.926111221,Netherlands
Glanerbrug,GBR,52.21861267,6.974444389,Netherlands
Glons,LGL,50.750277,5.535278,Belgium
Goes,GS,51.4980545,3.89055562,Netherlands
Goor,GO,52.23027802,6.584444523,Netherlands
Gorinchem,GR,51.83388901,4.968333244,Netherlands
Gouda,GD,52.01750183,4.704444408,Netherlands
Gouda Goverwelle,GDG,52.01499939,4.740833282,Netherlands
Gramsbergen,GBG,52.60916519,6.675833225,Netherlands
Grijpskerk,GK,53.25574033,6.30977869,Netherlands
Gronau (Westf.),G,52.21521,7.022109,Germany
Groningen,GN,53.21055603,6.564722061,Netherlands
Groningen Europapark,GERP,53.20480027,6.5854178,Netherlands
Groningen Noord,GNN,53.2301469,6.5563172,Netherlands
Grou-Jirnsum,GW,53.08889008,5.822500229,Netherlands
Gulpen-Wijlre,WIJ,50.833056,5.898056,Netherlands
Göppingen,TGO,48.700191,9.651685,Germany
Günzburg,MGZB,48.460226,10.278707,Germany
Haarlem,HLM,52.38777924,4.638333321,Netherlands
Haarlem Spaarnwoude,HLMS,52.38277817,4.673055649,Netherlands
Hagen Hbf,HAGEN,51.362747,7.460249,Germany
Halfweg-Zwanenburg,HWZB,52.385935,4.747165,Netherlands
Hamburg Hbf,HAMH,53.5526394,10.0067103,Germany
Hamm (Westf.),HAMM,51.678078,7.807821,Germany
Hannover Hbf,HANN,52.3770401,9.7416759,Germany
Hardenberg,HDB,52.57277679,6.628611088,Netherlands
Harderwijk,HD,52.33750153,5.619722366,Netherlands
Hardinxveld Blauwe Zoom,HBZM,51.82944,4.81556,Netherlands
Hardinxveld-Giessendam,GND,51.83055496,4.835833549,Netherlands
Haren,HRN,53.17610931,6.617222309,Netherlands
Harlingen,HLG,53.1704205,5.4251932,Netherlands
Harlingen Haven,HLGH,53.174917,5.4112885,Netherlands
Hasselt,FHS,50.930555,5.3275,Belgium
Heemskerk,HK,52.4952774,4.686944485,Netherlands
Heemstede-Aerdenhout,HAD,52.35916519,4.606666565,Netherlands
Heerenveen,HR,52.96138763,5.914166451,Netherlands
Heerenveen IJsstadion,HRY,52.93527603,5.943888664,Netherlands
Heerhugowaard,HWD,52.66972351,4.822777748,Netherlands
Heerlen,HRL,50.89083481,5.974999905,Netherlands
Heerlen De Kissel,HRLK,50.89016893,5.9933424,Netherlands
Heerlen Woonboulevard,HRLW,50.896667,5.952222,Netherlands
Heeze,HZE,51.38499832,5.569444656,Netherlands
Heide,MID,51.364828,4.4604308,Belgium
Heiloo,HLO,52.59944534,4.700555325,Netherlands
Heino,HNO,52.42722321,6.221111298,Netherlands
Helmond,HM,51.47555542,5.661944389,Netherlands
Helmond 't Hout,HMH,51.46794,5.63085,Netherlands
Helmond Brandevoort,HMBV,51.46222305,5.60722208,Netherlands
Helmond Brouwhuis,HMBH,51.47068,5.70177,Netherlands
Hemiksem,LKM,51.13624,4.33828,Belgium
Hemmen-Dodewaard,HMN,51.9222129,5.6737254,Netherlands
Hengelo,HGL,52.26166534,6.793889046,Netherlands
Hengelo Gezondheidspark,HGLG,52.261667,6.773611,Netherlands
Hengelo Oost,HGLO,52.26889038,6.819444656,Netherlands
Herstal,LHS,50.66076,5.62231,Belgium
Herzogenrath,HZ,50.870916,6.094486,Germany
Hillegom,HIL,52.30250168,4.565555573,Netherlands
Hilversum,HVS,52.22583389,5.18194437,Netherlands
Hilversum Media Park,HVSM,52.23805618,5.173888683,Netherlands
Hilversum Sportpark,HVSP,52.21611023,5.187222004,Netherlands
Hindeloopen,HNP,52.9464903,5.423063,Netherlands
Hoboken-Polder,FOE,51.18285,4.34831,Belgium
Hoek van Holland Haven,HLD,51.97527695,4.128889084,Netherlands
Hoek van Holland Strand,HLDS,51.98166656,4.119722366,Netherlands
Hoensbroek,HB,50.90555573,5.930555344,Netherlands
Hoevelaken,HVL,52.16652,5.45718,Netherlands
Hollandsche Rading,HOR,52.17777634,5.179166794,Netherlands
Holten,HON,52.28388977,6.420277596,Netherlands
Holzwickede,EHZW,51.504767,7.619647,Germany
Hoofddorp,HFD,52.29333496,4.700555325,Netherlands
Hoogeveen,HGV,52.73389053,6.473610878,Netherlands
Hoogezand-Sappemeer,HGZ,53.15981813,6.77075386,Netherlands
Hoogkarspel,HKS,52.69055557,5.183888912,Netherlands
Hoorn,HN,52.64472198,5.055555344,Netherlands
Hoorn Kersenboogerd,HNK,52.65361023,5.085555553,Netherlands
Hopfgarten,HOPF,47.45525,12.14921,Austria
Horst-Sevenum,HRT,51.42638779,6.042222023,Netherlands
Houten,HTN,52.03402,5.16821,Netherlands
Houten Castellum,HTNC,52.01701,5.17949,Netherlands
Houthem-St Gerlach,SGL,50.87333298,5.797222137,Netherlands
Hove,MHO,51.153611,4.465278,Belgium
Hurdegaryp,HDG,53.2187783,5.934543,Netherlands
IJlst,IJT,53.0146614,5.6160801,Netherlands
Innsbruck Hbf,INNSB,47.26328,11.4008 ,Austria
Jenbach,JENBAC,47.38844,11.77841,Austria
Kaldenkirchen,KN,51.327184,6.203225,Germany
Kalmthout,FKTH,51.3909989,4.4668202,Belgium
Kampen,KPN,52.5597229,5.921666622,Netherlands
Kampen Zuid,KPNZ,52.5331,5.91309,Netherlands
Kapelle-Biezelinge,BZL,51.48083496,3.956111193,Netherlands
Kapellen,LKP,51.31362,4.43262,Belgium
Karlsruhe Hbf,KARLSR,48.9936223,8.400743,Germany
Kerkrade Centrum,KRD,50.86166763,6.057499886,Netherlands
Kerkrade West,KRW,50.85355,6.02578,Netherlands
Kesteren,KTR,51.9313869,5.5833465,Netherlands
Kijkuit,GKT,51.37867,4.46722,Belgium
Kirchberg in Tirol,KIRCHB,47.44921,12.30953,Austria
Kitzbühel,KITZB,47.45411,12.39104,Austria
Klarenbeek,KBK,52.17805481,6.083611012,Netherlands
Klimmen-Ransdaal,KMR,50.86639023,5.890555382,Netherlands
Koblenz Hbf,KKO,50.351085,7.588649,Germany
Kohlscheid,KOHL,50.831728,6.074485,Germany
Konin,KONIN,52.23702,18.22069,Poland
Kontich,FKI,51.133889,4.476667,Belgium
Koog Bloemwijk,KBW,52.45861053,4.805555344,Netherlands
Koog-Zaandijk,KZD,52.4691658,4.804999828,Netherlands
Koudum-Molkwerum,KMW,52.9028197,5.4106913,Netherlands
Krabbendijke,KBD,51.43333435,4.116944313,Netherlands
Krommenie-Assendelft,KMA,52.49511,4.75417,Netherlands
Kropswolde,KW,53.1617362,6.7220882,Netherlands
Kruiningen-Yerseke,KRG,51.46500015,4.037222385,Netherlands
Kufstein,KUFST,47.5831,12.16568,Austria
Kutno,KUTNO,52.22694,19.34859,Poland
Köln Hbf,KOLN,50.9432158,6.9589214,Germany
Köln-Deutz,KKD,50.940874,6.975001,Germany
Lage Zwaluwe,ZLW,51.69111252,4.66305542,Netherlands
Landeck,LAND,47.14824,10.57839,Austria
Landgraaf,LG,50.89638901,6.01916647,Netherlands
Landquart,LANDQ,46.96722,9.5538,Switzerland
Landry,LANDRY,45.57414,6.73378,France
Langerwehe,LANG,50.817525,6.355194,Germany
Leer (Ostfriesland),LEER,53.23165,7.465283,Germany
Leerdam,LDM,51.89472198,5.091388702,Netherlands
Leeuwarden,LW,53.19583511,5.792222023,Netherlands
Leeuwarden Achter d Hoven,ADH,53.19889,5.81639,Netherlands
Leeuwarden Camminghaburen,LWC,53.2021808,5.8422968,Netherlands
Legden,ELGD,52.034924,7.088538,Germany
Leiden Centraal,LEDN,52.16611099,4.481666565,Netherlands
Leiden Lammenschans,LDL,52.14694595,4.492499828,Netherlands
Lelystad Centrum,LLS,52.50777817,5.472777843,Netherlands
Lette (Kr Coesfeld),ELET,51.8925,7.186363,Germany
Leuven,LEUVEN,50.88136,4.71568,Belgium
Lichtenvoorde-Groenlo,LTV,52.01188,6.59641,Netherlands
Liers,LSL,50.69822,5.56848,Belgium
Lille Europe,LILLEE,50.639444,3.074722,France
Limburg Süd,FLB,50.382498,8.096112,Germany
Livorno Centrale,LIVOR,43.56446,10.33529,Italy
Liège-Guillemins,LUIK,50.62436,5.56648,Belgium
Liège-Jonfosse,LUIKJ,50.64051,5.56197,Belgium
Liège-Palais,LUIKP,50.64648,5.57072,Belgium
Lochem,LC,52.16666794,6.426388741,Netherlands
Lokeren,FLK,51.107777,3.9875,Belgium
London St. Pancras,LONDS,51.53239,0.12716,United Kingdom
Loppersum,LP,53.3347145,6.7472625,Netherlands
Lunteren,LTN,52.08527756,5.624444485,Netherlands
Lüdinghausen,ELDH,51.76184,7.43165,Germany
Lünen Hbf,ELUE,51.61713,7.52949,Germany
Maarheeze,MZ,51.30376236,5.63034296,Netherlands
Maarn,MRN,52.06416702,5.369999886,Netherlands
Maarssen,MAS,52.13527679,5.033611298,Netherlands
Maassluis,MSS,51.91611099,4.254722118,Netherlands
Maassluis West,MSW,51.92583466,4.236111164,Netherlands
Maastricht,MT,50.85027695,5.705555439,Netherlands
Maastricht Noord,MTN,50.87087,5.71774,Netherlands
Maastricht Randwyck,MTR,50.8386116,5.717222214,Netherlands
Mainz Hbf,FMZ,50.001117,8.25872,Germany
Mannheim Hbf,MANNHE,49.479354,8.468921,Germany
Mantgum,MG,53.1296368,5.7131996,Netherlands
Mariënberg,MRB,52.50944519,6.575277805,Netherlands
Marne-la-Vallée-Chessy,MARNE,48.86826,2.78218,France
Marseille-St-Charles,MARS,43.30381,5.38195,France
Martenshoek,MTH,53.1607232,6.7402989,Netherlands
Mechelen,MECH,51.01786,4.48306,Belgium
Mechelen-Nekkerspoel,LNK,51.03,4.49,Belgium
Meerssen,MES,50.88287939,5.750999451,Netherlands
Melsele,LM,51.210556,4.286667,Belgium
Meppel,MP,52.69083405,6.197500229,Netherlands
Metelen Land,EMTE,52.162444,7.254423,Germany
Middelburg,MDB,51.49472046,3.617222309,Netherlands
Milmort,BLTM,50.69301,5.59983,Belgium
Minden (Westf.),MINDEN,52.290138,8.934728,Germany
Montabaur,KMB,50.444834,7.825333,Germany
Mook Molenhoek,MMLH,51.77158,5.88145,Netherlands
Mortsel-Deurnesteenweg,GMD,51.1825,4.447222,Belgium
Mortsel-Oude God,GMOG,51.171111,4.455833,Belgium
Moutiers-Salins-Brides,MOUT,45.48664,6.53105,France
Mönchengladbach Hbf,MCGB,51.196583,6.446111,Germany
München Hbf,MUNCHH,48.14020334,11.55834675,Germany
Münster (Westf.) Hbf,MUNST,51.956892,7.635895,Germany
Münster Zentrum Nord,ENHF,51.984987,7.63861,Germany
Münster-Häger,ENBE,52.022327,7.562668,Germany
Naarden-Bussum,NDB,52.28027725,5.156944275,Netherlands
Neuss Hbf,NEUSS,51.20444,6.68468,Germany
Niel,LNI,51.11154,4.33845,Belgium
Nieuw Amsterdam,NA,52.71861267,6.848610878,Netherlands
Nieuw Vennep,NVP,52.25888824,4.645555496,Netherlands
Nieuwerkerk a/d IJssel,NWK,51.96527863,4.616944313,Netherlands
Nieuwkerken-Waas,FNU,51.185556,4.185832,Belgium
Nijkerk,NKK,52.22222137,5.493888855,Netherlands
Nijmegen,NM,51.84361267,5.852222443,Netherlands
Nijmegen Dukenburg,NMD,51.82416534,5.795555592,Netherlands
Nijmegen Goffert,NMGO,51.8273,5.822722,Netherlands
Nijmegen Heyendaal,NMH,51.82694626,5.867499828,Netherlands
Nijmegen Lent,NML,51.861811,5.859686,Netherlands
Nijverdal,NVD,52.36555,6.471111,Netherlands
Noorderkempen,NDKP,51.3573,4.63273,Belgium
Nordwalde,ENOW,52.077618,7.461706,Germany
Nunspeet,NS,52.37083435,5.785277843,Netherlands
Nuth,NH,50.91944504,5.89277792,Netherlands
Nürnberg Hbf,NURNB,49.4449634,11.0826087,Germany
Obdam,OBD,52.67805481,4.907222271,Netherlands
Oberhausen Hbf,OBERH,51.47512,6.852038,Germany
Ochtrup,EOP,52.201703,7.182643,Germany
Offenburg,RO,48.476475,7.946723,Germany
Oisterwijk,OT,51.58222198,5.19416666,Netherlands
Oldenzaal,ODZ,52.30638885,6.934722424,Netherlands
Olst,OST,52.33472061,6.113055706,Netherlands
Ommen,OMN,52.50944519,6.415833473,Netherlands
Oosterbeek,OTB,51.99499893,5.840000153,Netherlands
Opheusden,OP,51.9261615,5.6371145,Netherlands
Osnabrück Hbf,OSNH,52.272851,8.061781,Germany
Oss,O,51.76555634,5.532222271,Netherlands
Oss West,OW,51.75805664,5.50555563,Netherlands
Oudenbosch,ODB,51.58777618,4.533333302,Netherlands
Overveen,OVN,52.39110947,4.60611105,Netherlands
Paris-Nord,PARIS,48.87977,2.35575,France
Plochingen,TP,48.71308,9.41081,Germany
Poznan Gl.,POZN,52.40199,16.91087,Poland
Praha hl.n.,PRAHA,50.08306,14.435833 ,Czech Republic
Praha-Holesovice,PRAHOL,50.1102,14.44,Czech Republic
Preussen,EPRN,51.58833,7.53933,Germany
Purmerend,PMR,52.50305557,4.953610897,Netherlands
Purmerend Overwhere,PMO,52.51139069,4.968333244,Netherlands
Purmerend Weidevenne,PMW,52.49659063,4.935629368,Netherlands
Putten,PT,52.26499939,5.575277805,Netherlands
Puurs,FRP,51.07716,4.28273,Belgium
Raalte,RAT,52.39166641,6.277500153,Netherlands
Rathenow,LRW,52.599444,12.354721,Germany
Ravenstein,RVS,51.79416656,5.635833263,Netherlands
Reuver,RV,51.28321917,6.078958511,Netherlands
Rheden,RH,52.00999832,6.030555725,Netherlands
Rheine,RHEINE,52.276299,7.434255,Germany
Rhenen,RHN,51.95861053,5.578333378,Netherlands
Rijssen,RSN,52.31222153,6.520277977,Netherlands
Rijswijk,RSW,52.03972244,4.31916666,Netherlands
Rilland-Bath,RB,51.42277908,4.161110878,Netherlands
Roermond,RM,51.1930542,5.994166851,Netherlands
Roodeschool,RD,53.4192128,6.7606167,Netherlands
Roosendaal,RSD,51.54027939,4.458333492,Netherlands
Rosendahl-Holtwick,EHW,51.99946726,7.121500969,Germany
Rosmalen,RS,51.71472168,5.368055344,Netherlands
